Chapter 1 - More Affordable Homes,,,,,,,
millions of dollars,,,,,,,
,2023-2024,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,Total
1.1. Building More Homes,-49,250,542,791,"1,121","1,295","3,950"
Building Homes on Public Lands,0,18,44,91,13,10,176
Converting Underused Federal Offices into Homes[1],0,28,102,96,86,97,408
Less: Projected Savings,0,-22,-38,-110,-183,-255,-606
"Building Apartments, Bringing Rents Down",0,0,41,35,92,159,328
Year-Over-Year Reallocation of Funding,-49,18,10,35,18,-6,27
Topping-up the Housing Accelerator Fund,0,101,99,100,100,0,400
A New Canada Housing Infrastructure Fund,0,13,122,290,471,604,"1,500"
Changing How We Build Homes[2],0,33,49,0,0,0,82
Less: Funds Sourced from Existing Departmental Resources,0,-13,-19,0,0,0,-32
Housing Design Catalogue,0,12,0,0,0,0,12
Less: Funds Sourced from Existing Departmental Resources,0,-12,0,0,0,0,-12
Modernizing Housing Data,0,2,6,6,6,0,20
Adding Additional Suites to Single Family Homes,0,0,35,102,177,95,410
Accelerating Investment to Build More Apartments,0,1,27,140,335,585,"1,088"
Building More Student Housing,0,1,3,5,5,5,19
More Skilled Trades Workers Building Homes,0,50,50,0,0,0,100
Less: Funds Sourced from Existing Departmental Resources,0,-5,-15,0,0,0,-20
Recognizing Foreign Construction Credentials and Improving Labour Mobility,0,25,25,0,0,0,50
1.2. Making it Easier to Own or Rent a Home,5,19,34,19,14,9,101
Protecting Renters' Rights,0,3,3,3,3,3,15
Enhancing the Home Buyers' Plan,5,20,20,20,15,10,90
Cracking Down on Real Estate Fraud,0,15,15,15,15,15,73
Less: Expected Revenues,0,-18,-18,-18,-18,-18,-92
Advancing National Flood Insurance,0,0,15,0,0,0,15
1.3. Helping Canadians Who Can't Afford a Home,0,751,"1,029","1,158",966,566,"4,470"
Enhancing the Affordable Housing Fund,0,100,219,219,219,219,976
Protecting and Expanding Affordable Housing,0,5,120,118,117,117,477
Lower Energy Bills for Renters and Homeowners,0,12,65,123,223,230,654
Addressing Homelessness and Encampments,0,225,225,431,406,0,"1,287"
Sheltering Asylum Claimants,0,409,400,267,0,0,"1,076"
Additional Investments – More Affordable Homes,0,2,2,0,0,0,3
Supporting the Federal Housing Advocate,0,2,2,0,0,0,3
Funding proposed for the CHRC to support the Office of the Federal Housing Advocate to fulfill its mandate of promoting and protecting the right to a safe and affordable place to call home.,,,,,,,
Chapter 1 - Net Fiscal Impact,-44,"1,022","1,607","1,968","2,101","1,870","8,524"
"Note: Numbers may not add due to rounding. A glossary of abbreviations used in this table can be found at the end of Annex 1. [1] The proposed funding will generate additional savings, over and above the amounts included in this budget, that will help Public Services and Procurement Canada achieve its Refocusing Government Spending reduction targets, as outlined in the organization's 2024 to 2025 Departmental Plan. [2] Funding for Regional Development Agencies under Changing How We Build Homes is sourced from the Budget 2024 Boosting Regional Economic Growth measure found in Chapter 4.",,,,,,,
